i,ops,correct_rate,wrong_rate
0,punct,0.529,0.471
1,,0.500,0.611
2,punct,0.529,0.471
3,lower,0.611,0.389
4,drop4,0.562,0.375
5,lower+punct,0.588,0.471
6,,0.500,0.611
7,lower+ws,0.611,0.389
8,lower+drop4,0.312,0.625
9,punct+drop4,0.467,0.467
10,,0.500,0.611
11,,0.500,0.611
12,punct,0.529,0.471
13,lower+ws,0.611,0.389
14,punct+drop4,0.467,0.467
15,ws,0.500,0.611
16,lower+punct,0.588,0.471
17,,0.500,0.611
18,lower+punct,0.588,0.471
19,ws,0.500,0.611
20,punct,0.529,0.471
21,punct+drop4,0.467,0.467
22,,0.500,0.611
23,drop4,0.562,0.375
24,ws,0.500,0.611
25,lower+punct+ws,0.588,0.471
26,lower,0.611,0.389
27,,0.500,0.611
28,,0.500,0.611
29,lower,0.611,0.389
30,ws,0.500,0.611
31,lower+punct+ws,0.588,0.471
32,ws,0.500,0.611
33,lower,0.611,0.389
34,lower+punct+drop4,0.400,0.533
35,ws,0.500,0.611
36,lower+drop4,0.312,0.625
37,,0.500,0.611
38,lower,0.611,0.389
39,lower+ws,0.611,0.389
40,,0.500,0.611
41,,0.500,0.611
42,lower,0.611,0.389
43,lower,0.611,0.389
44,lower+ws+drop4,0.312,0.625
45,lower,0.611,0.389
46,punct+drop4,0.467,0.467
47,punct+ws,0.529,0.471
48,punct,0.529,0.471
49,,0.500,0.611
